Date (DD/MM/YYYY),Pressure_Sensor_1,Pressure_Sensor_2,Motor_Revolutions_Per_Minute,Motor_Temperature,Motor_Power,Motor_Efficiency,Motor Trip Failure
14/03/2019 4:00,30.70266272,29.01045296,94,45.62,2.93,75.69,0
14/03/2019 4:01,30.38461538,28.27874564,97,55.93,3.3,73.78,0
14/03/2019 4:02,32.23372781,27.99303136,103,45.4,3.94,73.04,0
14/03/2019 4:03,31.54585799,30.91986063,100,55.23,4.14,77.55,0
14/03/2019 4:04,32.23372781,30.95470383,108,54.51,4.37,79.24,0
14/03/2019 4:05,31.11686391,30.90592334,109,52.6,4.4,76.49,0
14/03/2019 4:06,31.27218935,30.93379791,111,54.2,4.58,76.87,0
14/03/2019 4:07,32.4556213,29.47038328,109,53.19,4.52,79.78,0
14/03/2019 4:08,32.99556213,29.46341463,108,54.17,4.71,81.11,0
14/03/2019 4:09,31.90828402,31.18466899,98,53.35,4.43,78.44,0
14/03/2019 4:10,31.09467456,29.35191638,103,53.99,4.33,76.44,0
14/03/2019 4:11,31.69378698,29.83972125,107,52.8,4.35,77.91,0
14/03/2019 4:12,32.16715976,30,102,52.75,4.19,79.07,0
14/03/2019 4:13,32.94378698,30.25087108,105,54.47,4.53,80.98,0
14/03/2019 4:14,32.14497041,30.77351916,108,55.84,4.23,79.02,0
14/03/2019 4:15,31.73816568,29.92334495,102,55.51,4.44,78.02,0
14/03/2019 4:16,31.54585799,29.28222997,108,55.93,4.4,77.55,0
14/03/2019 4:17,33.05473373,29.31707317,103,53.85,4.16,81.25,0
14/03/2019 4:18,31.22781065,30.46689895,108,53.7,4.53,76.76,0
14/03/2019 4:19,32.35946746,31.0174216,109,55.45,4.28,79.55,0
14/03/2019 4:20,32.52218935,29.28222997,104,55.19,4.4,79.95,0
14/03/2019 4:21,31.2647929,31.35888502,108,53.27,4.56,76.85,0
14/03/2019 4:22,32.30769231,31.22648084,104,55.25,4.09,79.42,0
14/03/2019 4:23,31.07988166,30.29965157,105,54.34,4.27,76.4,0
14/03/2019 4:24,32.13017751,30.53658537,103,52.55,4.25,78.98,0
14/03/2019 4:25,31.53846154,29.53310105,108,54.37,4.33,77.53,0
14/03/2019 4:26,31.1612426,30,108,54.12,4.21,76.6,0
14/03/2019 4:27,31.81952663,31.03135889,103,53.62,4.62,78.22,0
14/03/2019 4:28,33.03254438,29.58188153,102,55.33,4.38,81.2,0
14/03/2019 4:29,31.57544379,31.14982578,97,53.52,4.11,77.62,0
14/03/2019 4:30,31.76035503,30.27874564,112,53.99,4.29,78.07,0
14/03/2019 4:31,32.03402367,29.45644599,98,54.77,4.32,78.75,0
14/03/2019 4:32,32.07840237,29.47735192,111,52.97,4.71,78.85,0
14/03/2019 4:33,32.75887574,30.81533101,114,53.43,4.6,80.53,0
14/03/2019 4:34,33.19526627,31.2195122,114,55.34,4.52,81.6,0
