pha,diameter,albedo,diameter_sigma,epoch,epoch_mjd,epoch_cal,i,om,w,ma,ad,tp,tp_cal,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,rms
Y,0.674,0.246,0.014,2459000.5,59000,20200531.0,45.8661968522168,150.740973045736,322.1059518807407,10.60925354803028,1.105901214527252,2458989.251973617,20200519.7519736,4.1723e-08,1.0715e-08,4.2079e-08,1.6235e-05,4.7158e-06,2.3244e-05,5.264e-05,1.1507e-08,1.4721e-08,5.5651e-05,5.957e-06,0.29264
N,3.784,0.039,0.043,2459000.5,59000,20200531.0,15.88828078211423,158.0412005192268,111.8598173081145,56.2328889484642,3.48251862745269,2458738.421671951,20190911.921672,5.3968e-08,2.1273e-08,1.5623e-07,6.3185e-06,2.378e-05,3.0389e-05,1.376e-05,2.6809e-08,2.4777e-09,6.4301e-05,1.9374e-05,0.59991
N,8.119,0.035,0.416,2459000.5,59000,20200531.0,15.02604687721113,203.7263620145525,124.4367428753393,152.6654346465664,3.458605002766957,2458198.062012192,20180320.5620122,4.2418e-08,1.87e-08,1.2545e-07,6.1275e-06,1.628e-05,2.4818e-05,1.8615e-05,2.1602e-08,1.7825e-09,9.7e-05,1.7728e-05,0.52034
N,1.961,0.264,0.356,2459000.5,59000,20200531.0,1.851419830971783,133.3735809839522,280.5216001934963,277.8218415170575,2.862959111797774,2459314.2378748134,20210409.7378748,4.4535e-08,1.0696e-08,1.0481e-07,4.0866e-06,0.00013908,0.00013961,1.3993e-05,1.2658e-08,1.7371e-09,5.4608e-05,9.115e-06,0.58595
N,6.652,0.048,0.172,2459000.5,59000,20200531.0,3.687808115257621,91.55396155887668,305.8700141225391,11.62862042681107,2.844992936857757,2458955.3861164628,20200415.8861165,3.5494e-08,9.7467e-09,8.9953e-08,4.2569e-06,6.4857e-05,6.6589e-05,1.5587e-05,1.134e-08,1.5411e-09,6.0368e-05,8.3504e-06,0.52223
N,4.38,0.113,0.025,2459000.5,59000,20200531.0,13.58245386688686,134.72583740014,265.8216348082328,190.9682349381012,3.080586657875618,2459713.1874712897,20220513.6874713,3.6916e-08,1.44e-08,9.9511e-08,4.1807e-06,1.6614e-05,2.0397e-05,1.391e-05,1.7163e-08,1.982e-09,6.2273e-05,1.2684e-05,0.50852
N,8.253,0.065,0.482,2459000.5,59000,20200531.0,16.81500154570744,356.6850821518943,96.01049233920604,103.9590626215749,3.785578839716632,2458394.514764298,20181003.0147643,4.1147e-08,2.1737e-08,1.3116e-07,5.8041e-06,1.6077e-05,2.3663e-05,1.5738e-05,2.5652e-08,1.7438e-09,9.049e-05,2.133e-05,0.51157
N,2.72,0.035,0.526,2459000.5,59000,20200531.0,4.260831826909341,333.8088755365936,4.81406446961488,93.22664840581405,2.73751391474732,2458575.4935501334,20190401.9935501,8.386e-08,2.8524e-08,2.2919e-07,8.7438e-06,9.7744e-05,0.00068797,0.0006799,2.8677e-08,3.4467e-09,0.0031007,2.5788e-05,0.58623
N,11.94,0.059,0.248,2459000.5,59000,20200531.0,9.198413826998326,74.8079549990576,324.7655787222424,265.1272680017954,3.40800300281467,2459447.891112194,20210821.3911122,4.3553e-08,1.4154e-08,1.2329e-07,4.1255e-06,3.0358e-05,3.1599e-05,1.0567e-05,1.732e-08,1.6166e-09,5.1851e-05,1.2942e-05,0.49955
Y,0.369,0.471,0.081,2459000.5,59000,20200531.0,21.8447074867638,177.6017160329532,295.8527966719525,33.41721799997034,1.106856978988618,2458970.4362942446,20200430.9362942,9.5506e-08,1.394e-08,9.1033e-08,1.5187e-05,5.243e-05,4.7908e-05,8.7268e-05,1.6717e-08,2.5182e-08,7.7918e-05,7.3372e-06,0.44885
